Price,Close,High,Low,Open,Volume
Ticker,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS
Date,,,,,
2025-04-16,12.545000076293945,12.75,12.380000114440918,12.4399995803833,137191
2025-04-17,12.699999809265137,12.880000114440918,12.470000267028809,12.649999618530273,304824
2025-04-22,12.854999542236328,13.210000038146973,12.3149995803833,12.600000381469727,333859
2025-04-23,13.675000190734863,13.739999771118164,13.010000228881836,13.140000343322754,587204
2025-04-24,13.744999885559082,13.890000343322754,13.5600004196167,13.649999618530273,249697
2025-04-25,14.630000114440918,14.760000228881836,13.789999961853027,13.850000381469727,667311
2025-04-28,15.335000038146973,15.800000190734863,14.545000076293945,14.600000381469727,679927
2025-04-29,15.59000015258789,15.9399995803833,15.229999542236328,15.350000381469727,568002
2025-04-30,15.399999618530273,15.755000114440918,14.84000015258789,15.579999923706055,417709
2025-05-02,16.665000915527344,16.84000015258789,15.595000267028809,15.600000381469727,621379
2025-05-05,16.645000457763672,16.84000015258789,16.3700008392334,16.6200008392334,294003
2025-05-06,16.68000030517578,16.81999969482422,16.020000457763672,16.600000381469727,273776
2025-05-07,16.600000381469727,16.760000228881836,16.229999542236328,16.520000457763672,214991
2025-05-08,17.30500030517578,17.395000457763672,16.700000762939453,16.799999237060547,498512
2025-05-09,16.485000610351562,17.834999084472656,16.3799991607666,17.405000686645508,557096
2025-05-12,16.81999969482422,17.635000228881836,16.674999237060547,16.799999237060547,688304
2025-05-13,12.425000190734863,13.850000381469727,12.319999694824219,13.550000190734863,3650992
2025-05-14,11.819999694824219,12.239999771118164,11.819999694824219,12.199999809265137,1379403
2025-05-15,10.944999694824219,11.800000190734863,10.944999694824219,11.800000190734863,1735836
2025-05-16,10.529999732971191,11.085000038146973,10.510000228881836,10.854999542236328,1193759
2025-05-19,10.3149995803833,10.5600004196167,9.600000381469727,10.385000228881836,1976673
2025-05-20,10.899999618530273,10.930000305175781,10.140000343322754,10.265000343322754,820448
2025-05-21,10.789999961853027,11.079999923706055,10.729999542236328,11.005000114440918,477914
2025-05-22,11.079999923706055,11.079999923706055,10.40999984741211,10.699999809265137,530043
2025-05-23,10.899999618530273,11.180000305175781,10.649999618530273,11.0600004196167,366126
2025-05-26,11.335000038146973,11.385000228881836,11.029999732971191,11.109999656677246,453995
2025-05-27,11.550000190734863,11.550000190734863,11.335000038146973,11.369999885559082,313527
2025-05-28,11.345000267028809,11.8100004196167,11.345000267028809,11.579999923706055,461979
2025-05-29,11.274999618530273,11.720000267028809,11.1850004196167,11.5649995803833,324022
2025-05-30,11.40999984741211,11.529999732971191,11.28499984741211,11.3100004196167,245614
2025-06-02,11.109999656677246,11.350000381469727,10.9399995803833,11.300000190734863,372764
2025-06-03,11.119999885559082,11.1850004196167,10.90999984741211,11.149999618530273,205636
2025-06-04,11.050000190734863,11.164999961853027,10.885000228881836,11.164999961853027,307041
2025-06-05,10.975000381469727,11.1899995803833,10.895000457763672,11.069999694824219,245825
2025-06-06,10.779999732971191,11.050000190734863,10.779999732971191,10.970000267028809,198792
